Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,,"Rk,Team,Date,Att,Att,TO,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD"
37,BAL,2023-12-25,35,26,343,6,23,3,0,Mon,15,16,@,SFO,W 33-19,23,35,12,65.7,241,2,0,5.7,0,105.9,2,11,5.41,6.9,6.51,8.03,7.59,10.5,26,102,3.9,1,343,63,5.44,68,6.31,0,31:14:00,3:18,6,67,10,102,16,169,23,4,14,5,11,4,36.4,1,1,100,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
38,BAL,2023-12-17,24,42,396,6,25,2,0,Sun,14,15,@,JAX,W 23-7,14,24,10,58.3,145,1,1,4.2,4.2,76.9,3,26,11.11,6,5.37,5,4.44,10.4,42,251,6,1,396,69,5.74,61,5.46,1,34:19:00,3:03,6,54,6,47,12,101,25,14,9,2,12,5,41.7,1,1,100,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
39,BAL,2023-12-10,43,26,449,7,23,4,0,Sun,13,14,,LAR,W 37-31 (OT),24,43,19,55.8,310,3,1,7,2.3,92.8,2,6,4.44,7.2,6.89,7.56,7.22,12.9,26,139,5.3,0,449,71,6.32,73,5.62,1,27:43:00,3:37,7,79,5,34,12,113,23,6,17,0,12,4,33.3,0,0,,4,2,2,3,3,1,1,0,0,1,0,0,0,1,0,0,0,0,,
40,BAL,2023-11-26,32,35,361,5,20,2,0,Sun,12,12,@,LAC,W 20-10,18,32,14,56.3,164,1,0,3.1,0,82.4,2,13,5.88,5.1,4.82,5.75,5.41,9.1,35,197,5.6,1,361,69,5.23,66,4.23,0,33:23:00,3:04,5,42,5,41,10,83,20,10,9,1,13,4,30.8,3,1,33.3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
41,BAL,2023-11-16,26,31,405,9,22,4,0,Thu,11,11,,CIN,W 34-20,16,26,10,61.5,248,2,0,7.7,0,121.3,3,16,10.34,9.5,8.55,11.08,9.93,15.5,31,157,5.1,2,405,60,6.75,59,4.61,0,30:37:00,3:08,9,110,9,78,18,188,22,10,9,3,12,6,50,0,0,,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
42,BAL,2023-11-12,23,24,306,7,18,4,0,Sun,10,10,,CLE,L 31-33,13,23,10,56.5,200,1,2,4.3,8.7,67.8,3,23,11.54,8.7,7.69,5.65,5,15.4,24,106,4.4,2,306,50,6.12,75,4.97,2,25:45:00,3:22,7,64,10,55,17,119,18,4,9,5,8,2,25,0,0,,4,4,4,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,
43,BAL,2023-11-05,33,41,515,3,29,4,0,Sun,9,9,,SEA,W 37-3,26,33,7,78.8,217,1,0,3,0,105.2,1,8,2.94,6.6,6.38,7.18,6.97,8.3,41,298,7.3,3,515,75,6.87,47,3.21,2,40:04:00,2:58,3,11,5,29,8,40,29,16,11,2,13,6,46.2,2,1,50,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
44,BAL,2023-10-29,27,29,268,6,21,4,0,Sun,8,8,@,ARI,W 31-24,18,27,9,66.7,138,1,0,3.7,0,94.2,4,19,12.9,5.1,4.45,5.85,5.1,7.7,29,130,4.5,3,268,60,4.47,71,4.37,0,29:39:00,3:10,6,45,6,70,12,115,21,9,8,4,11,4,36.4,0,0,,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45,BAL,2023-10-22,28,27,503,4,23,5,0,Sun,7,7,,DET,W 38-6,21,28,7,75,357,3,0,10.7,0,152.4,0,0,0,12.8,12.75,14.89,14.89,17,27,146,5.4,2,503,55,9.15,72,4.68,1,30:22:00,3:00,4,45,5,57,9,102,23,7,15,1,8,4,50,1,1,100,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,BAL,2023-10-15,30,39,360,9,20,1,0,Sun,6,6,@,TEN,W 24-16,21,30,9,70,221,1,1,3.3,3.3,88.6,1,2,3.23,7.4,7.13,6.53,6.32,10.5,39,139,3.6,0,360,70,5.14,46,5.07,1,35:42:00,3:09,9,88,6,45,15,133,20,9,9,2,16,8,50,0,0,,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
